t, days	M, rad	E, rad	Phi, rad	
631	5.77112	5.72137	5.66946
632	5.78027	5.7313	5.6802
633	5.78941	5.74124	5.69095
634	5.79856	5.75118	5.70171
635	5.8077	5.76113	5.71249
636	5.81685	5.77109	5.72328
637	5.826	5.78105	5.73407
638	5.83514	5.79101	5.74488
639	5.84429	5.80098	5.7557
640	5.85343	5.81095	5.76653
641	5.86258	5.82093	5.77736
642	5.87173	5.83091	5.78821
643	5.88087	5.8409	5.79907
644	5.89002	5.85089	5.80994
645	5.89916	5.86089	5.82081
646	5.90831	5.87089	5.8317
647	5.91746	5.88089	5.84259
648	5.9266	5.8909	5.8535
649	5.93575	5.90091	5.86441
650	5.94489	5.91093	5.87533
651	5.95404	5.92094	5.88626
652	5.96319	5.93097	5.89719
653	5.97233	5.94099	5.90814
654	5.98148	5.95102	5.91909
655	5.99062	5.96106	5.93005
656	5.99977	5.97109	5.94101
657	6.00892	5.98113	5.95198
658	6.01806	5.99118	5.96296
659	6.02721	6.00122	5.97395
660	6.03635	6.01127	5.98494
661	6.0455	6.02132	5.99594
662	6.05465	6.03138	6.00694
663	6.06379	6.04143	6.01795
664	6.07294	6.05149	6.02897
665	6.08208	6.06155	6.03999
666	6.09123	6.07162	6.05102
667	6.10038	6.08168	6.06205
668	6.10952	6.09175	6.07308
669	6.11867	6.10182	6.08412
670	6.12781	6.11189	6.09516
671	6.13696	6.12197	6.10621
672	6.14611	6.13204	6.11726
673	6.15525	6.14212	6.12832
674	6.1644	6.1522	6.13938
675	6.17354	6.16228	6.15044
676	6.18269	6.17236	6.1615
677	6.19184	6.18244	6.17257
678	6.20098	6.19253	6.18363
679	6.21013	6.20261	6.1947
680	6.21927	6.2127	6.20578
681	6.22842	6.22278	6.21685
682	6.23757	6.23287	6.22793
683	6.24671	6.24296	6.239
684	6.25586	6.25304	6.25008
685	6.265	6.26313	6.26116
686	6.27415	6.27322	6.27224
686.987	6.28318	6.28318	6.28317
